,ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
0,,,2025-11-18,K-JOY EDUCARE PTE. LTD.,K-JOY EDUCARE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,28-09-2017,201727805K,88911,85101,,,,https://www.mycareersfuture.gov.sg/job/education-training/preschool-educator-k-joy-educare-ecdced3b9489d2d890d1aec671fffcdc,SME,,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,87 MARINE PARADE CENTRAL,213,440087,87 MARINE PARADE CENTRAL MARINE PARADE PROMENADE 03-213 Singapore 440087,213,440087,,,,,65 6752 1170,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
1,,,2025-11-18,TUNGSTAN EDLAB,TUNGSTAN EDLAB,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,24-05-2017,53363337X,85509,0,,,,https://edlab.sg/,SME,,https://www.instagram.com/edlab.sg,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,23 FERNVALE LANE,29,797501,23 FERNVALE LANE THE TOPIARY 02-29 Singapore 797501,29,797501,,,,,65 8198 1320,enquiry@edlab.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
2,,,2025-11-18,ADVENTURE TREE PRESCHOOL BRADDELL PTE. LTD.,ADVENTURE TREE PRESCHOOL BRADDELL,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,15-12-2020,202040317N,88911,0,,,,https://www.camelotinfant.com/,SME,https://www.facebook.com/camelot.river.valley,https://www.instagram.com/camelotrivervalley,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,45A CARMICHAEL ROAD,,359826,45A CARMICHAEL ROAD Singapore 359826,,359826,,,,,65 9811 8333,enquiry@camelotinfant.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
3,,,2025-11-18,GLOBAL ACHIEVERS EDUCATION CENTRE PTE. LTD.,ACHIEVERS EDUCATION CENTRE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,20-12-2013,201334160E,85509,85409,,,,https://globalachieversedu.com/,SME,https://www.facebook.com/gaecsg/,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,242 JURONG EAST STREET 24,625,600242,242 JURONG EAST STREET 24 01-625 Singapore 600242,625,600242,,,,,65 6569 1200,ksatyamohan@yahoo.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
4,,,2025-11-18,SG NOAH'S ARK EDUTECH PTE. LTD.,NOAHS ARK EDUTECH,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,14-12-2021,202143113N,85509,62011,,,,https://en.sgpedu.com/,SME,https://www.facebook.com/sgnoahsark/,,https://recordowl.com/company/linkedin.com/company/sg-noahs-ark,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,140 PAYA LEBAR ROAD,25,409015,140 PAYA LEBAR ROAD AZ @ PAYA LEBAR 05-25 Singapore 409015,25,409015,,,,,65 9058 8912,sgnoahark@gmail.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
5,,,2025-11-18,ELITE EDUCATION & TALENT CENTRE PTE. LTD.,ELITE EDUCATION & TALENT CENTRE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,30-04-2010,201009354C,85509,70201,,,,,SME,https://www.facebook.com/elite.edu.talent/,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,437 HOUGANG AVENUE 8,1521,530437,437 HOUGANG AVENUE 8 B1-1521 Singapore 530437,1521,530437,,,,,65 6356 6550,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
6,,,2025-11-18,THE LITTLE CHAMPIONS (TLC) PTE. LTD.,THE LITTLE CHAMPIONS TLC,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,06-07-2011,201116060Z,88911,88912,,,,https://thelittlechampions.com.sg/,SME,,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,110 LORONG 23 GEYLANG,11,388410,110 LORONG 23 GEYLANG VICTORY CENTRE 01-11 Singapore 388410,11,388410,,,,,65 6746 8589,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
7,,,2025-11-18,BRAIN MATTER LLP,BRAIN MATTER,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,06-02-2014,T14LL0227E,85509,0,,,,https://brainmatter.com.sg/,SME,https://www.facebook.com/ourbrainmatter/,,,,LIMITED LIABILITY PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,503 BISHAN STREET 11,448,570503,503 BISHAN STREET 11 01-448 Singapore 570503,448,570503,,,,,65 9791 1234,info@brainmatter.com.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
8,,,2025-11-18,MAPLEBEAR KIDS ADVENTURE PTE. LTD.,MAPLEBEAR KIDS ADVENTURE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,22-04-2021,202114380C,88911,0,,,,https://maplebear.sg/contact-us,SME,https://www.facebook.com/maplebearsg,https://www.instagram.com/maplebearjurongwest/,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,451 JOO CHIAT ROAD,01,427664,451 JOO CHIAT ROAD KATONG POINT 04-01 Singapore 427664,01,427664,,,,,65 8511 0339,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
9,,,2025-11-18,TNTTUTORS TUITION AGENCY,TNTTUTORS TUITION AGENCY,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,23-05-2011,53192102J,85509,0,,,,https://www.schtutors.com/,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,124 PASIR RIS STREET 11,411,510124,124 PASIR RIS STREET 11 11-411 Singapore 510124,411,510124,,,,,65 9320 9899,info@schtutors.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
