ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,2025-11-09,BELL 1 SINGAPORE PTE. LTD.,BELL 1 SINGAPORE PTE. LTD.,,,,,,07-06-2018,201819442H,46610,,,,,https://bell-1.com,,['https://www.facebook.com/bell1lubricant/'],['https://www.instagram.com/bell1lubricant/'],,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6562590183'],['enquiry@bell-1.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,NUU&NII PTE. LTD.,NUU&NII PTE. LTD.,,,,,,08-08-2025,202534677Z,46413,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,CLOUD FRONTIER ASIA PTE. LTD.,CLOUD FRONTIER ASIA PTE. LTD.,,,,,,05-08-2019,201925464M,46512,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,GOLDEN GARLAND COMMUNICATION PTE. LTD.,GOLDEN GARLAND COMMUNICATION PTE. LTD.,,,,,,10-03-2021,202108485W,46523,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,XINYUAN SHOES PTE. LTD.,XINYUAN SHOES PTE. LTD.,,,,,,08-05-2025,202519922K,46414,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,THESEUS PROMOTER PTE. LTD.,THESEUS PROMOTER PTE. LTD.,,,,,,07-05-2019,201914673H,46100,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6567743127'],['enquiry@promoter.com.sg'],,,,,,,,,,,,,,,,,
,,2025-11-09,ASIA DIGITAL ALLIANCE PTE. LTD.,ASIA DIGITAL ALLIANCE PTE. LTD.,,,,,,05-01-2022,202200566K,46512,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,NINE PURPLE GOLD PTE. LTD.,NINE PURPLE GOLD PTE. LTD.,,,,,,08-05-2025,202519905W,46631,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,MYFIT ENTERPRISE PTE. LTD.,MYFIT ENTERPRISE PTE. LTD.,,,,,,01-03-2022,202207198G,46306,,,,,,,,['https://www.instagram.com/myfit.sg/'],,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6596402556'],,,,,,,,,,,,,,,,,,
,,2025-11-09,CDINDUSTRY (INTERNATIONAL) PTE. LTD.,CDINDUSTRY (INTERNATIONAL) PTE. LTD.,,,,,,02-12-2024,202449443E,46541,,,,,https://cdi-sg.com/,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,URBAN SKY PTE. LTD.,URBAN SKY PTE. LTD.,,,,,,07-07-2023,202326705K,46449,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,ZHONGCHUAN ELETRIC TRADING (SINGAPORE) PTE. LTD.,ZHONGCHUAN ELETRIC TRADING (SINGAPORE) PTE. LTD.,,,,,,06-01-2020,202000842W,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,BAISENDA DECORATION MATERIALS PTE. LTD.,BAISENDA DECORATION MATERIALS PTE. LTD.,,,,,,06-11-2024,202445616D,46631,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,THE SINGAPORE FOOD AND WINE,THE SINGAPORE FOOD AND WINE,,,,,,03-07-2020,53416329K,46307,,,,,https://napoleon.sg,,['https://www.facebook.com/p/the-singapore-food-wine-company-100080176512552/'],,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6562219282'],,,,,,,,,,,,,,,,,,
,,2025-11-09,VIGNA INTERNATIONAL PTE. LTD.,VIGNA INTERNATIONAL PTE. LTD.,,,,,,11-04-2022,202212454M,46610,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,HL GRANITE RESOURCES PTE. LTD.,HL GRANITE RESOURCES PTE. LTD.,,,,,,12-11-2019,201938239G,46639,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,HUA SI DA TRADING,HUA SI DA TRADING,,,,,,04-12-2023,53477346W,46309,,,,,,,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SEA GUARDIAN MARINE (SINGAPORE) PTE. LTD.,SEA GUARDIAN MARINE (SINGAPORE) PTE. LTD.,,,,,,09-07-2019,201922064E,46610,,,,,,,['https://www.facebook.com/p/sea-guardian-marine-100091435595408/'],,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6593512288'],['trading@seaguardianmarine.com.sg'],,,,,,,,,,,,,,,,,
,,2025-11-09,ABBACI DISTRIBUTION (SINGAPORE) PTE. LTD.,ABBACI DISTRIBUTION (SINGAPORE) PTE. LTD.,,,,,,11-04-2016,201609496K,46306,,,,,https://verdura.com.sg,,,,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6562439947'],['info@abbaci.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,RIMSEA INTERNATIONAL PTE. LTD.,RIMSEA INTERNATIONAL PTE. LTD.,,,,,,02-12-2020,202038973G,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SANJIN OVERSEAS PTE. LTD.,SANJIN OVERSEAS PTE. LTD.,,,,,,04-06-2018,201819037M,46620,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,VALUEMARKETS CONSULTANCY PTE. LTD.,VALUEMARKETS CONSULTANCY PTE. LTD.,,,,,,09-05-2023,202317955C,46100,,,,,https://valuemarkets.com/,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
