,UEN,Emails,Phones,Website,Facebook,LinkedIn,Instagram,TikTok,RecordOwl_Link,Error,operational_street,operational_unit,operational_postal_code,operational_address
0,53431824W,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
1,202344030R,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
2,T15LL1885G,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
3,53200915X,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
4,201733719E,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
5,53227394W,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
6,202209857Z,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
7,201711911W,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
8,201540131W,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
9,202337418G,,,,,,,,,Apify call failed: Monthly usage hard limit exceeded,,,,
