ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,2025-11-05,BELL 1 SINGAPORE PTE. LTD.,BELL 1 SINGAPORE PTE. LTD.,,,,,,07-06-2018,201819442H,46610,,,,,https://bell-1.com,,['https://www.facebook.com/bell1lubricant/'],['https://www.instagram.com/bell1lubricant/'],,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6562590183'],['enquiry@bell-1.com'],,,,,,,,,,,,,,,,,
,,2025-11-05,THESEUS PROMOTER PTE. LTD.,THESEUS PROMOTER PTE. LTD.,,,,,,07-05-2019,201914673H,46100,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6567743127'],['enquiry@promoter.com.sg'],,,,,,,,,,,,,,,,,
,,2025-11-05,MYFIT ENTERPRISE PTE. LTD.,MYFIT ENTERPRISE PTE. LTD.,,,,,,01-03-2022,202207198G,46306,,,,,,,,['https://www.instagram.com/myfit.sg/'],,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6596402556'],,,,,,,,,,,,,,,,,,
,,2025-11-05,THE SINGAPORE FOOD AND WINE,THE SINGAPORE FOOD AND WINE,,,,,,03-07-2020,53416329K,46307,,,,,https://napoleon.sg,,['https://www.facebook.com/p/the-singapore-food-wine-company-100080176512552/'],,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6562219282'],,,,,,,,,,,,,,,,,,
,,2025-11-05,SEA GUARDIAN MARINE (SINGAPORE) PTE. LTD.,SEA GUARDIAN MARINE (SINGAPORE) PTE. LTD.,,,,,,09-07-2019,201922064E,46610,,,,,,,['https://www.facebook.com/p/sea-guardian-marine-100091435595408/'],,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6593512288'],['trading@seaguardianmarine.com.sg'],,,,,,,,,,,,,,,,,
,,2025-11-05,ABBACI DISTRIBUTION (SINGAPORE) PTE. LTD.,ABBACI DISTRIBUTION (SINGAPORE) PTE. LTD.,,,,,,11-04-2016,201609496K,46306,,,,,https://verdura.com.sg,,,,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6562439947'],['info@abbaci.com'],,,,,,,,,,,,,,,,,
,,2025-11-05,PEM (SG) PTE. LTD.,PEM (SG) PTE. LTD.,,,,,,08-11-2018,201838074K,46512,,,,,https://pemconfinement.com,,['https://www.facebook.com/pemconfinementnanny/'],['https://www.instagram.com/pemconfinementnanny/'],['https://sg.linkedin.com/company/pem-confinement-nanny-agency-pte-ltd-'],,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6562939249'],['sales@pemconfinement.com'],,,,,,,,,,,,,,,,,
,,2025-11-05,312 TECHNOLOGY LLP,312 TECHNOLOGY LLP,,,,,,08-06-2018,T18LL0967D,46592,,,,,https://312-technology.com,,['https://www.facebook.com/wecare312technology/'],,,,LIMITED LIABILITY PARTNERSHIP,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6587600312'],,,,,,,,,,,,,,,,,,
,,2025-11-05,SUSTAIN ENGINEERING PTE. LTD.,SUSTAIN ENGINEERING PTE. LTD.,,,,,,01-01-2021,202100172W,46599,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6562907633'],,,,,,,,,,,,,,,,,,
,,2025-11-05,SLD SEMI (SINGAPORE) PTE. LTD.,SLD SEMI (SINGAPORE) PTE. LTD.,,,,,,01-04-2024,202412608H,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6564675585'],,,,,,,,,,,,,,,,,,
